support,itemsets
0.3978494623655914,AWC Logo Cap
0.3333333333333333,"Long-Sleeve Logo Jersey, L"
0.3225806451612903,"Sport-100 Helmet, Black"
0.3225806451612903,"AWC Logo Cap; Long-Sleeve Logo Jersey, L"
0.3010752688172043,"Sport-100 Helmet, Blue"
0.2903225806451613,"Sport-100 Helmet, Red"
0.2903225806451613,"AWC Logo Cap; Sport-100 Helmet, Black"
0.27956989247311825,"AWC Logo Cap; Sport-100 Helmet, Red"
0.27956989247311825,"AWC Logo Cap; Sport-100 Helmet, Blue"
0.27956989247311825,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Black"
0.27956989247311825,"Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.27956989247311825,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red"
0.27956989247311825,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.26881720430107525,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red"
0.26881720430107525,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.26881720430107525,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Black"
0.26881720430107525,"Sport-100 Helmet, Red; Sport-100 Helmet, Blue"
0.26881720430107525,"Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.26881720430107525,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Blue"
0.25806451612903225,"AWC Logo Cap; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.25806451612903225,"AWC Logo Cap; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.25806451612903225,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.25806451612903225,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Blue"
0.25806451612903225,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.25806451612903225,"AWC Logo Cap; Sport-100 Helmet, Red; Sport-100 Helmet, Blue"
0.24731182795698925,"Sport-100 Helmet, Red; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
