DateID,Year,Quarter,Month,Day,SpecialOfferID,Description,DiscountPct,Type,Category,StartDate,EndDate,MinQty,MaxQty,ID,SalesOrderID,TerritoryID,ProductID,SalesOrderNumber,OrderQty,UnitPrice,LineTotal,TotalDue
32,2011,3,7,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,555,43875,5,775,SO43875,13.0,1957.4942,24938.476108,137343.2877
32,2011,3,7,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,1010,43898,6,715,SO43898,11.0,27.879,300.53562,57391.4284
32,2011,3,7,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,1065,43879,6,712,SO43879,13.0,5.0136,63.873264,24459.114
32,2011,3,7,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,1156,43898,6,770,SO43898,13.0,405.477,5165.77698,57391.4284
32,2011,3,7,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,1196,43875,5,773,SO43875,12.0,1971.9942,23190.651792,137343.2877
32,2011,3,7,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,1218,43884,3,772,SO43884,14.0,1971.9942,27055.760424,130416.4829
32,2011,3,7,1,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,15,-24.0,660,43881,3,709,SO43881,21.0,5.225,104.23875,43706.8175
32,2011,3,7,1,4,Volume Discount 25 to 40,0.1,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,25,40.0,1198,43906,4,709,SO43906,26.0,4.75,111.15,37121.6273
62,2011,3,8,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,1936,44100,1,777,SO44100,11.0,1957.4942,21101.787476,91512.8507
62,2011,3,8,1,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,15,-24.0,1748,44098,5,709,SO44098,22.0,5.225,109.2025,18431.4595
91,2011,3,8,31,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,2591,44283,6,770,SO44283,12.0,405.477,4768.40952,49297.608
91,2011,3,8,31,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,2603,44318,5,709,SO44318,11.0,5.51,59.3978,23749.8917
91,2011,3,8,31,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,2607,44305,5,709,SO44305,12.0,5.51,64.7976,21262.657
91,2011,3,8,31,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,2611,44285,1,709,SO44285,12.0,5.51,64.7976,65037.6996
91,2011,3,8,31,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,15,-24.0,2163,44294,6,709,SO44294,18.0,5.225,89.3475,69900.1415
91,2011,3,8,31,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,15,-24.0,2211,44284,1,709,SO44284,23.0,5.225,114.16625,98932.197
365,2012,2,6,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12407,46689,4,790,SO46689,1.0,2443.35,2443.35,2699.9018
365,2012,2,6,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12409,46692,4,790,SO46692,1.0,2443.35,2443.35,2699.9018
365,2012,2,6,1,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12411,46688,1,790,SO46688,1.0,2443.35,2443.35,2699.9018
366,2012,2,6,2,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12419,46702,8,790,SO46702,1.0,2443.35,2443.35,2699.9018
367,2012,2,6,3,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12423,46711,7,790,SO46711,1.0,2443.35,2443.35,2699.9018
368,2012,2,6,4,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12432,46719,10,784,SO46719,1.0,2049.0982,2049.0982,2264.2536
368,2012,2,6,4,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12438,46725,9,790,SO46725,1.0,2443.35,2443.35,2699.9018
369,2012,2,6,5,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12447,46738,9,784,SO46738,1.0,2049.0982,2049.0982,2264.2536
371,2012,2,6,7,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12460,46745,1,790,SO46745,1.0,2443.35,2443.35,2699.9018
373,2012,2,6,9,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12476,46766,9,790,SO46766,1.0,2443.35,2443.35,2699.9018
373,2012,2,6,9,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12478,46767,9,784,SO46767,1.0,2049.0982,2049.0982,2264.2536
376,2012,2,6,12,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12508,46795,4,784,SO46795,1.0,2049.0982,2049.0982,2264.2536
376,2012,2,6,12,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12510,46791,1,790,SO46791,1.0,2443.35,2443.35,2699.9018
379,2012,2,6,15,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12522,46818,9,790,SO46818,1.0,2443.35,2443.35,2699.9018
379,2012,2,6,15,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12524,46811,1,790,SO46811,1.0,2443.35,2443.35,2699.9018
381,2012,2,6,17,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12542,46829,6,790,SO46829,1.0,2443.35,2443.35,2699.9018
381,2012,2,6,17,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12546,46831,1,790,SO46831,1.0,2443.35,2443.35,2699.9018
382,2012,2,6,18,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12553,46840,4,790,SO46840,1.0,2443.35,2443.35,2699.9018
385,2012,2,6,21,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12577,46862,10,784,SO46862,1.0,2049.0982,2049.0982,2264.2536
385,2012,2,6,21,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12579,46868,4,790,SO46868,1.0,2443.35,2443.35,2699.9018
385,2012,2,6,21,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12580,46863,10,784,SO46863,1.0,2049.0982,2049.0982,2264.2536
385,2012,2,6,21,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12581,46866,4,790,SO46866,1.0,2443.35,2443.35,2699.9018
387,2012,2,6,23,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12590,46878,6,790,SO46878,1.0,2443.35,2443.35,2699.9018
387,2012,2,6,23,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12592,46875,8,784,SO46875,1.0,2049.0982,2049.0982,2264.2536
388,2012,2,6,24,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12597,46887,9,784,SO46887,1.0,2049.0982,2049.0982,2264.2536
389,2012,2,6,25,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12605,46898,9,790,SO46898,1.0,2443.35,2443.35,2699.9018
389,2012,2,6,25,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12611,46893,6,790,SO46893,1.0,2443.35,2443.35,2699.9018
392,2012,2,6,28,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12623,46919,8,784,SO46919,1.0,2049.0982,2049.0982,2264.2536
392,2012,2,6,28,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12625,46915,1,784,SO46915,1.0,2049.0982,2049.0982,2264.2536
393,2012,2,6,29,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12633,46923,4,790,SO46923,1.0,2443.35,2443.35,2699.9018
393,2012,2,6,29,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12635,46927,9,784,SO46927,1.0,2049.0982,2049.0982,2264.2536
393,2012,2,6,29,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,31/5/2011 0:00,30/5/2014 0:00,11,14.0,12639,46920,10,784,SO46920,1.0,2049.0982,2049.0982,2264.2536
