Date,Income,Loan_disbursed,Age,Gender,Outstanding_debt,Purpose,Interest_rate,Education_level,Feedback,Promo_Campaign,Year,Quarter,Day_month,Weeknum,Month,Weekday
2011-10-14,28490,17094,75,F,64475,Home,19.8,Graduate,4,0,2011,4,14,42,Oct,Fri
2011-10-15,28510,17106,68,F,59727,Home,19.8,Graduate,5,1,2011,4,15,42,Oct,Sat
2011-10-16,29830,17898,39,M,116846,Home,19.8,Graduate,5,0,2011,4,16,43,Oct,Sun
2011-10-17,32000,19200,53,F,99611,Home,19.8,Graduate,1,0,2011,4,17,43,Oct,Mon
2011-10-18,33330,99990,56,F,86509,Home,19.8,Graduate,4,0,2011,4,18,43,Oct,Tue
2011-10-19,39830,119490,65,M,98463,Home,19.8,Graduate,1,1,2011,4,19,43,Oct,Wed
2011-10-20,40830,122490,32,M,67183,Home,19.8,Graduate,3,1,2011,4,20,43,Oct,Thu
2011-10-21,42210,126630,62,F,63238,Home,19.8,Graduate,3,1,2011,4,21,43,Oct,Fri
2011-10-22,42400,127200,24,F,42603,Home,19.8,Graduate,4,1,2011,4,22,43,Oct,Sat
2011-10-23,46170,138510,55,F,56066,Home,19.5,Graduate,4,1,2011,4,23,44,Oct,Sun
2011-10-24,46800,140400,46,F,108557,Home,19.5,Graduate,4,0,2011,4,24,44,Oct,Mon
2011-10-25,47210,141630,53,F,109096,Home,19.5,Graduate,5,1,2011,4,25,44,Oct,Tue
2011-10-26,47290,141870,39,M,63447,Home,19.5,Graduate,3,1,2011,4,26,44,Oct,Wed
2011-10-27,47840,143520,72,M,99051,Home,19.5,Graduate,4,0,2011,4,27,44,Oct,Thu
2011-10-28,49230,147690,65,F,56711,Home,19.5,Graduate,1,1,2011,4,28,44,Oct,Fri
2011-10-29,55550,233310,55,M,73091,Home,19.5,Graduate,4,1,2011,4,29,44,Oct,Sat
2011-10-30,55550,233310,29,F,77517,Home,19.5,Graduate,4,1,2011,4,30,45,Oct,Sun
2011-10-31,57330,240786,41,F,67425,Home,19.5,Graduate,4,1,2011,4,31,45,Oct,Mon
2011-11-01,61110,122220,31,F,117407,Home,19.5,Graduate,3,1,2011,4,1,45,Nov,Tue
2011-11-02,65560,131120,44,M,71155,Home,19.5,Graduate,2,1,2011,4,2,45,Nov,Wed
2011-11-03,65640,131280,60,M,85872,Home,19.5,Graduate,3,1,2011,4,3,45,Nov,Thu
2011-11-04,66670,133340,25,F,47332,Home,19.5,Graduate,2,0,2011,4,4,45,Nov,Fri
2011-11-05,68320,136640,74,M,44468,Home,19.5,Graduate,4,1,2011,4,5,45,Nov,Sat
2011-11-06,72230,144460,32,F,111997,Home,19.5,Graduate,2,1,2011,4,6,46,Nov,Sun
2011-11-07,83690,167380,52,M,74077,Home,19.4,Graduate,1,1,2011,4,7,46,Nov,Mon
2011-11-08,83770,167540,28,M,86399,Home,19.4,Graduate,4,1,2011,4,8,46,Nov,Tue
2011-11-09,86670,173340,69,M,45453,Home,19.4,Graduate,2,1,2011,4,9,46,Nov,Wed
2011-11-10,90430,180860,63,M,51500,Home,19.2,Graduate,4,1,2011,4,10,46,Nov,Thu
2011-11-11,138880,277760,70,M,50586,Home,19.2,Graduate,4,1,2011,4,11,46,Nov,Fri
2011-11-12,199990,399980,59,M,76944,Home,19.2,Graduate,2,1,2011,4,12,46,Nov,Sat
2011-11-13,216670,433340,31,M,80678,Home,19.2,Graduate,2,1,2011,4,13,47,Nov,Sun
2011-11-14,268880,34954.4,39,M,119351,Home,19.2,Graduate,2,0,2011,4,14,47,Nov,Mon
2011-11-15,20000,18000,29,F,65054,Home,19.1,Graduate,2,0,2011,4,15,47,Nov,Tue
2011-11-16,25550,76650,51,M,83425,Home,19.1,Graduate,1,1,2011,4,16,47,Nov,Wed
2011-11-17,28490,17094,75,F,69659,Home,19.1,Graduate,2,1,2011,4,17,47,Nov,Thu
2011-11-18,28510,17106,68,F,79157,Home,19.1,Graduate,1,1,2011,4,18,47,Nov,Fri
